folio;depto;area;s10b_10_01;s10b_10_02;s10b_10_03;s10b_10_04;s10b_10_05;s10b_10_06;s10b_10_07;s10b_10_08;s10b_10_09;s10b_10_10;s10b_10_11;s10b_10_12;s10b_10_13;s10b_10_14;s10b_10_15;s10b_10_16;s10b_10_17;s10b_10_18;s10b_10_19;s10b_10_20;s10b_10_21;s10b_10_22;s10b_10_23;s10b_10_24;s10b_10_25;s10b_10_26;s10b_10_27;s10b_10_28;s10b_11_01;s10b_11_02;s10b_11_03;s10b_11_04;s10b_11_05;s10b_11_06;s10b_11_07;s10b_11_08;s10b_12_01;s10b_12_02;s10b_12_03;s10b_13_01;s10b_13_02;s10b_13_03;s10b_13_04;s10b_13_05;s10b_13_06;s10b_13_07;s10b_13_08;s10b_13_09;s10b_13_10;s10b_13_11;s10b_13_12;s10b_13_13;s10b_13_14;s10b_13_15;s10b_13_16;s10b_13_17;upm;estrato;factor
70369;6;2;30;100;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;643-03126818349-A;23;259
70372;4;2;30;0;0;0;0;0;20;25;0;0;0;0;30;0;0;0;0;25;0;0;0;0;0;0;0;80;0;0;0;300;150;100;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;600;800;0;0;0;0;0;0;0;453-04873070581-D;23;177
70382;3;1;50;50;0;0;0;0;15;0;30;0;0;50;200;0;0;0;0;0;30;0;0;0;0;0;0;10;0;0;0;400;40;200;0;0;0;0;0;0;0;70;12;0;0;0;0;0;0;1000;2000;300;0;0;0;0;100;0;311-05174784482-A;11;146
70390;3;1;90;50;0;0;0;0;30;100;20;0;60;0;100;0;0;0;0;0;0;0;0;0;0;0;56;60;0;0;0;150;0;180;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;1000;500;0;0;0;0;0;0;0;311-05174784482-A;11;146
70396;3;1;60;50;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;20;0;0;0;500;250;250;0;0;0;0;0;0;0;4000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;311-05174784482-A;11;146
70401;3;1;0;50;0;0;0;0;0;14;0;0;300;50;20;0;50;0;100;80;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;200;0;0;0;30;0;0;0;0;0;0;0;400;0;0;0;0;0;0;0;311-05174784482-A;11;146
70571;7;1;40;0;0;0;0;0;100;0;0;0;0;0;0;225;600;0;450;0;0;0;0;400;0;0;400;400;180;0;0;0;0;400;0;0;0;0;0;500;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;714-05218837074-A;14;441
70573;7;1;100;100;0;0;0;0;100;0;40;0;0;0;0;248;700;100;200;0;0;0;150;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;713-05199547769-A;13;486
70577;8;2;80;0;0;0;0;0;60;15;30;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;60;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;1200;0;0;0;0;0;0;0;852-07182116967-A;22;279
70578;8;2;50;0;0;0;0;0;38;0;15;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;70;36;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;852-07182116967-A;22;279
70579;8;2;75;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;15;14;0;0;0;50;24;0;217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;852-07182116967-A;22;279
