folio;depto;area;s09a_01;s09a_02;s09a_03;s09a_04;s09a_05;s09a_06;s09a_07;s09a_08;s09a_09;s09b_10;s09b_11;s09b_12;s09b_13;s09b_14;s09b_15;s09b_16;upm;estrato;factor
13809;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05218535161-A;14;207
13814;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05218535161-A;14;207
13830;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;132-03948734383-A;12;210
13835;6;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;612-02979200189-A;12;127
13839;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05243148494-A;13;486
13841;7;1;1;1;1;1;2;1;1;2;1;2;1;2;1;1;1;1;713-05243148494-A;13;486
13852;3;1;1;2;2;1;1;1;1;2;1;1;1;1;1;1;2;2;314-05226207024-A;14;275
13857;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;622-03358767530-A;12;127
13870;6;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;622-02607034693-A;12;127
13877;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05219880995-A;14;207
13883;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;732-05370800494-A;12;398
13884;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;732-05370800494-A;12;398
13885;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;732-05370800494-A;12;398
13886;7;1;1;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;732-05370800494-A;12;398
13888;1;1;1;2;1;2;2;2;2;2;2; ; ; ; ; ; ; ;113-00418007041-A;13;205
13891;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;714-05265017658-A;14;441
13894;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05203481405-A;14;225
13899;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;713-05237587564-A;13;530
13957;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;714-05200313795-A;14;481
13962;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;722-05849355161-A;12;398
13967;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;732-05370800494-A;12;398
13968;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;732-05370800494-A;12;398
13969;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;732-05370800494-A;12;398
13970;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;732-05370800494-A;12;398
13973;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05274813410-A;14;207
13977;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05274813410-A;14;207
13985;2;1;1;2;2;1;1;1;2;2;1;2;1;2;1;1;2;2;261-06136811436-A;11;190
13986;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;262-06148256008-A;12;182
13990;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;262-06148256008-A;12;182
13991;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;262-06148256008-A;12;182
13998;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;261-06168013392-A;11;190
14000;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;261-06168013392-A;11;190
14003;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;261-06168013392-A;11;190
14009;6;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;622-03358767530-A;12;127
14050;4;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;421-04098188253-A;11;154
14051;4;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;421-04098188253-A;11;154
14052;4;1;1;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;421-04098188253-A;11;154
14092;3;1;2;2;1;1;2;2;2;2;2; ; ; ; ; ; ; ;312-05215271971-A;12;189
14096;7;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;722-05473374574-A;12;398
14102;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;261-06168013392-A;11;190
14103;2;1;1;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;261-06136811436-A;11;190
14107;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;261-06136811436-A;11;190
14111;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;261-06136811436-A;11;190
14112;2;1;1;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ;261-06136811436-A;11;190
14120;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;262-06148256008-A;12;182
14125;2;1;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;262-06148256008-A;12;182
14126;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;262-06148256008-A;12;182
14127;2;1;1;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;262-06148256008-A;12;182
14128;2;1;1;2;1;1;2;2;2;1;1;1;1;2;2;2;2;1;261-06168013392-A;11;190
14133;2;1;1;2;1;1;1;2;2;2;1;1;1;2;1;2;2;2;261-06168013392-A;11;190
14134;2;1;1;1;1;2;2;2;2;2;1;1;1;2;2;2;2;2;261-06168013392-A;11;190
14135;2;1;1;1;1;1;2;2;1;2;1;1;1;2;2;2;2;2;261-06168013392-A;11;190
14143;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05274813410-A;14;207
14152;3;1;1;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;314-05219880995-A;14;207
14157;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05219880995-A;14;207
